batter,Matches,Total Runs,Balls Faced,Wickets,Strike Rate,Runs scored per wicket
AB de Villiers,81,1868,867,40,215.4555940023068,46.7
MS Dhoni,162,3027,1814,98,166.86879823594268,30.887755102040817
DA Miller,69,1043,605,36,172.39669421487602,28.97222222222222
HH Pandya,76,1136,702,43,161.82336182336184,26.41860465116279
AD Russell,53,1055,572,40,184.44055944055944,26.375
YK Pathan,82,1126,732,45,153.82513661202185,25.022222222222222
V Kohli,78,1298,725,55,179.0344827586207,23.6
RG Sharma,86,1481,846,63,175.05910165484633,23.50793650793651
KA Pollard,128,2032,1270,87,160.0,23.35632183908046
KD Karthik,108,1548,942,67,164.33121019108282,23.104477611940297
AT Rayudu,85,1095,669,53,163.67713004484307,20.660377358490567
RA Jadeja,123,1375,974,68,141.17043121149896,20.220588235294116
