,fielders_involved,Catches,Stumpings,Innings,Dismissals,Dis/Inn,Strike Rate,Runs Per Wicket
0,AB de Villiers,120,8,99,128,1.29,148.58,41.45
1,AC Gilchrist,51,16,45,67,1.49,133.05,27.22
2,AT Rayudu,62,2,61,64,1.05,124.15,29.51
3,BB McCullum,38,6,39,44,1.13,126.85,27.19
4,Ishan Kishan,33,2,25,35,1.4,129.5,30.16
5,JC Buttler,43,1,33,44,1.33,144.86,39.89
6,JM Bairstow,20,4,17,24,1.41,138.07,33.97
7,KC Sangakkara,45,9,37,54,1.46,118.47,24.45
8,KD Karthik,133,34,123,167,1.36,129.27,26.05
9,KL Rahul,59,5,53,64,1.21,132.8,46.37
10,KM Jadhav,30,7,30,37,1.23,119.36,22.15
11,MS Dhoni,135,39,127,174,1.37,130.93,35.06
12,NV Ojha,65,10,60,75,1.25,114.26,21.0
13,PA Patel,69,16,70,85,1.21,116.63,22.43
14,Q de Kock,65,15,47,80,1.7,130.95,32.17
15,RR Pant,64,18,55,82,1.49,142.55,33.54
16,RV Uthappa,92,32,89,124,1.39,126.15,26.92
17,SV Samson,73,12,65,85,1.31,132.41,29.63
18,WP Saha,79,22,68,101,1.49,124.4,25.28
